id,level,ord,title,can_do_json,grammar_id,reading_id,video_id,word_count
a1-1-u01,A1.1,1,Hallo!,"[""greet someone at any time of day"",""say thank you, please and sorry"",""say yes and no""]",,,dw-A1_E0_L1_F1_hd,12
a1-1-u02,A1.1,2,Das Alphabet,"[""say the German alphabet"",""spell your own name out loud"",""ask someone to spell theirs""]",g-alphabet,r-u02,dw-A1_E0_L4_F4_hd,10
a1-1-u03,A1.1,3,Zahlen 0–20,"[""count to twenty"",""give your phone number"",""understand a number said to you""]",,,dw-A1_E2_L1_F9_hd,12
a1-1-u04,A1.1,4,Wie heißt du?,"[""say your name and ask for someone else's"",""tell someone how you are"",""choose between du and Sie""]",g-pronouns,r-u04,dw-A1_E1_L1_F5_hd,15
a1-1-u05,A1.1,5,Woher kommst du?,"[""say where you are from"",""say where you live now"",""ask both questions""]",g-wordorder,,dw-A1_E1_L3_F7_hd,12
a1-1-u06,A1.1,6,"Der, die, das","[""name the three genders"",""use the right article for the words you know"",""recognise the endings that predict gender""]",g-articles-nom,,,12
a1-1-u07,A1.1,7,Was ist das?,"[""name the things around you"",""ask what something is called"",""say you do not know a word""]",g-articles-nom,r-u07,dw-A1_E5_L1_F21_hd,12
a1-1-u08,A1.1,8,Sein und haben,"[""conjugate sein and haben"",""say what you are and what you have"",""say your age""]",g-sein,,dw-A1_E1_L4_F8_hd,10
a1-1-u09,A1.1,9,Zahlen bis 100,"[""count to a hundred"",""understand a price"",""say how old somebody is""]",g-zahlen,r-u09,dw-A1_E2_L2_F10_hd,12
a1-1-u10,A1.1,10,Wie spät ist es?,"[""ask and tell the time"",""understand the official 24-hour form"",""say when something starts""]",g-uhrzeit,,dw-A1_E7_L2_F30_hd,12
a1-1-u11,A1.1,11,Die Woche,"[""name the days and parts of the day"",""say when something happens"",""talk about today, tomorrow and yesterday""]",g-zeitpraepositionen,,dw-A1_E8_L2_F34_hd,12
a1-1-u12,A1.1,12,Verben im Präsens,"[""conjugate a regular verb"",""say what you do every day"",""ask what somebody else does""]",g-praesens,r-u12,dw-A1_E3_L1_F13_hd,14
a1-1-u13,A1.1,13,Meine Familie,"[""name the people in your family"",""say whose someone is"",""describe your family briefly""]",g-possessiv,,dw-A1_E15_L1_F61_hd,12
a1-1-u14,A1.1,14,Plural,"[""form the plural of the nouns you know"",""recognise the five plural patterns"",""count things""]",g-plural,,,10
a1-1-u15,A1.1,15,Essen und Trinken,"[""name everyday food and drink"",""say what you like and do not like"",""say what you would like""]",g-moechten,r-a11-u15,dw-A1_E3_L2_F14_hd,14
a1-1-u16,A1.1,16,Im Café,"[""order food and drink"",""ask for the bill"",""understand what the waiter asks you""]",g-moechten,,dw-A1_E3_L3_F15_hd,12
a1-1-u17,A1.1,17,Nicht und kein,"[""say something is not the case"",""say you do not have something"",""choose between nicht and kein""]",g-negation,,dw-A1_E5_L3_F23_hd,10
a1-1-u18,A1.1,18,Farben und Sachen,"[""name the colours"",""describe an object so somebody finds it"",""use an adjective after sein""]",g-adjektiv-praedikativ,r-a11-u18,dw-A1_E5_L4_F24_hd,12
a1-1-u19,A1.1,19,Fragen stellen,"[""ask a W-question"",""ask a yes/no question"",""understand the answer""]",g-questions,,,12
a1-1-u20,A1.1,20,Mein Tag,"[""describe your normal day in order"",""say when you do each thing"",""understand somebody else's routine""]",g-praesens,r-a11-u20,dw-A1_E7_L1_F29_hd,12
a1-2-u01,A1.2,1,Der Akkusativ,"[""use den, die, das and die as objects"",""say what you see, have and need"",""notice that only masculine changes""]",g-akkusativ,,,12
a1-2-u02,A1.2,2,Einkaufen,"[""ask for an amount of something"",""ask what something costs"",""pay and understand the change""]",g-akkusativ,,dw-A1_E12_L2_F50_hd,14
a1-2-u03,A1.2,3,Wo ist das?,"[""ask the way"",""understand left, right and straight on"",""say where something is""]",g-praepositionen-ort,r-a12-u03,dw-A1_E4_L2_F18_hd,12
a1-2-u04,A1.2,4,In der Stadt,"[""name the places in a town"",""say where you are going"",""say what you do there""]",g-praepositionen-ort,,dw-A1_E10_L1_F41_hd,12
a1-2-u05,A1.2,5,Können und müssen,"[""say what you can do"",""say what you have to do"",""put the second verb at the end""]",g-modalverben,r-a12-u05,,10
a1-2-u06,A1.2,6,"Wollen, möchten, dürfen","[""say what you want"",""ask permission politely"",""tell the difference between wollen and möchten""]",g-modalverben,,,10
a1-2-u07,A1.2,7,Trennbare Verben,"[""use a separable verb in a sentence"",""put the prefix at the end"",""recognise which prefixes separate""]",g-trennbare,,,12
a1-2-u08,A1.2,8,Die Wohnung,"[""name the rooms and the furniture"",""describe where you live"",""say what is in a room""]",g-es-gibt,r-a12-u08,dw-A1_E6_L2_F26_hd,14
a1-2-u09,A1.2,9,Der Dativ,"[""use dem, der and den as indirect objects"",""say who you give something to"",""use mir and dir""]",g-dativ,,dw-A1_E5_L2_F22_hd,12
a1-2-u10,A1.2,10,Termine machen,"[""make an appointment on the phone"",""suggest and refuse a time"",""cancel politely""]",g-dativ,,dw-A1_E8_L3_F35_hd,12
a1-2-u11,A1.2,11,Beim Arzt,"[""name the parts of the body"",""say what hurts"",""understand what the doctor asks""]",g-dativ,,dw-A1_E17_L2_F70_hd,14
a1-2-u12,A1.2,12,Perfekt mit haben,"[""say what you did"",""form the participle of a regular verb"",""put it at the end""]",g-perfekt-haben,r-a12-u12,dw-A1_E13_L1_F53_hd,12
a1-2-u13,A1.2,13,Perfekt mit sein,"[""say where you went"",""choose between haben and sein"",""talk about your weekend""]",g-perfekt-sein,,dw-A1_E13_L3_F55_hd,10
a1-2-u14,A1.2,14,Das Wetter,"[""say what the weather is doing"",""name the seasons and months"",""understand a forecast""]",,,dw-A1_E13_L4_F56_hd,14
a1-2-u15,A1.2,15,Kleidung,"[""name what you are wearing"",""say what suits you"",""ask for another size""]",g-adjektiv-praedikativ,,dw-A1_E14_L2_F58_hd,14
a1-2-u16,A1.2,16,Unterwegs,"[""buy a ticket"",""say how you travel"",""understand an announcement""]",g-praepositionen-ort,r-a12-u16,dw-A1_E10_L3_F43_hd,12
a1-2-u17,A1.2,17,Der Imperativ,"[""tell somebody to do something"",""ask for something politely"",""understand a written instruction""]",g-imperativ,,dw-A1_E17_L4_F72_hd,10
a1-2-u18,A1.2,18,Possessivartikel,"[""say whose something is in any case"",""use mein, dein, sein, ihr, unser correctly"",""ask whose something is""]",g-possessiv,,dw-A1_E15_L2_F62_hd,10
a1-2-u19,A1.2,19,Wechselpräpositionen,"[""choose accusative or dative after in, auf, an"",""say where something is and where it goes"",""ask wo or wohin""]",g-wechselpraep,,dw-A1_E10_L2_F42_hd,12
a1-2-u20,A1.2,20,Über mich,"[""introduce yourself for a minute without stopping"",""say what you did and what you are going to do"",""ask somebody the same questions back""]",,r-a12-u20,dw-A1_E18_L1_F73_hd,10
a2-1-u01,A2.1,1,Gestern,"[""say what you did yesterday"",""form the Perfekt with haben"",""ask what someone did""]",g-perfekt,r-a21-u01,,18
